session_id,station_id,customer_id,start_time,end_time,energy_consumed_kwh,charging_duration_minutes,price_per_kwh,total_revenue,payment_mode,charger_id
1,120,11376,"2024-07-16 17:00:00","2024-07-16 18:08:00",34.97,68,66.00,4616.04,UPI,941
2,94,21084,"2024-11-19 09:00:00","2024-11-19 09:38:00",16.41,38,75.00,2461.50,Card,745
3,100,13815,"2025-12-11 14:00:00","2025-12-11 14:32:00",50.29,32,54.00,5431.32,Card,795
4,46,9000,"2025-06-10 17:00:00","2025-06-10 18:26:00",40.85,86,60.00,4902.00,Card,371
5,19,19124,"2024-12-01 07:00:00","2024-12-01 07:57:00",16.77,57,54.00,1811.16,UPI,152
6,9,5977,"2024-04-24 18:00:00","2024-04-24 19:24:00",28.70,84,54.00,3099.60,Wallet,73
7,15,5591,"2024-06-29 16:00:00","2024-06-29 17:05:00",50.52,65,66.00,6668.64,Card,117
8,7,4408,"2024-10-05 13:00:00","2024-10-05 13:58:00",38.42,58,66.00,5071.44,Card,51
9,86,2973,"2024-05-08 06:00:00","2024-05-08 06:54:00",15.43,54,75.00,2314.50,Wallet,674
10,109,8401,"2024-10-22 07:00:00","2024-10-22 08:25:00",28.64,85,54.00,3093.12,Wallet,862
11,39,7678,"2025-04-11 17:00:00","2025-04-11 17:45:00",22.13,45,66.00,2921.16,UPI,321
12,7,1327,"2025-01-20 18:00:00","2025-01-20 19:14:00",35.87,74,75.00,5380.50,Card,51
13,44,7158,"2024-06-03 13:00:00","2024-06-03 14:13:00",52.17,73,60.00,6260.40,Wallet,359
14,21,5985,"2024-06-17 07:00:00","2024-06-17 08:07:00",31.81,67,54.00,3435.48,Card,164
15,108,14031,"2025-07-02 07:00:00","2025-07-02 07:39:00",31.67,39,66.00,4180.44,Wallet,852
16,98,7574,"2025-07-16 12:00:00","2025-07-16 12:23:00",55.27,23,66.00,7295.64,Card,775
17,106,13826,"2025-06-29 15:00:00","2025-06-29 15:22:00",38.81,22,75.00,5821.50,Wallet,843
18,15,9145,"2025-09-11 18:00:00","2025-09-11 18:55:00",38.31,55,75.00,5746.50,Wallet,121
19,56,5264,"2025-03-20 16:00:00","2025-03-20 16:45:00",23.10,45,66.00,3049.20,UPI,449
20,67,4004,"2025-01-08 21:00:00","2025-01-08 21:32:00",40.39,32,60.00,4846.80,Wallet,523
