station_id,month,electricity_cost_per_kwh,total_energy_supplied_kwh,total_energy_cost
1,2024-01-01,2.25,10109.00,22745.25
1,2024-02-01,2.25,19554.00,43996.50
1,2024-03-01,2.40,10978.00,26347.20
1,2024-04-01,2.40,10437.00,25048.80
1,2024-05-01,2.10,12368.00,25972.80
1,2024-06-01,1.95,8576.00,16723.20
1,2024-07-01,1.95,10089.00,19673.55
1,2024-08-01,1.95,12005.00,23409.75
1,2024-09-01,2.10,11057.00,23219.70
1,2024-10-01,2.40,10041.00,24098.40
1,2024-11-01,2.40,16226.00,38942.40
1,2024-12-01,2.25,11076.00,24921.00
1,2025-01-01,2.40,14091.00,33818.40
1,2025-02-01,2.40,14222.00,34132.80
1,2025-03-01,2.25,14930.00,33592.50
1,2025-04-01,2.25,14521.00,32672.25
1,2025-05-01,1.95,9340.00,18213.00
1,2025-06-01,2.25,18505.00,41636.25
1,2025-07-01,2.10,12484.00,26216.40
1,2025-08-01,2.25,9392.00,21132.00
1,2025-09-01,1.95,17859.00,34825.05
1,2025-10-01,1.95,17703.00,34520.85
1,2025-11-01,1.95,11720.00,22854.00
1,2025-12-01,2.10,10686.00,22440.60
2,2024-01-01,2.10,17535.00,36823.50
2,2024-02-01,2.10,11777.00,24731.70
2,2024-03-01,2.10,16140.00,33894.00
2,2024-04-01,2.10,16592.00,34843.20
2,2024-05-01,1.95,15393.00,30016.35
2,2024-06-01,2.40,12708.00,30499.20
2,2024-07-01,2.10,19934.00,41861.40
2,2024-08-01,2.40,11509.00,27621.60
2,2024-09-01,2.40,19741.00,47378.40
2,2024-10-01,1.95,8359.00,16300.05
2,2024-11-01,2.40,12798.00,30715.20
2,2024-12-01,2.40,19883.00,47719.20
2,2025-01-01,2.10,18026.00,37854.60
2,2025-02-01,2.10,18273.00,38373.30
2,2025-03-01,2.25,15148.00,34083.00
2,2025-04-01,2.10,11665.00,24496.50
2,2025-05-01,2.40,16973.00,40735.20
2,2025-06-01,2.25,12678.00,28525.50
2,2025-07-01,2.40,18427.00,44224.80
2,2025-08-01,2.25,16962.00,38164.50
2,2025-09-01,2.40,15546.00,37310.40
2,2025-10-01,2.10,17598.00,36955.80
2,2025-11-01,2.10,17004.00,35708.40
2,2025-12-01,1.95,13937.00,27177.15
3,2024-01-01,1.95,8678.00,16922.10
3,2024-02-01,2.10,10454.00,21953.40
3,2024-03-01,2.25,15924.00,35829.00
3,2024-04-01,2.25,18398.00,41395.50
3,2024-05-01,1.95,17130.00,33403.50
3,2024-06-01,1.95,15535.00,30293.25
3,2024-07-01,2.40,17079.00,40989.60
3,2024-08-01,2.40,10942.00,26260.80
3,2024-09-01,2.25,17257.00,38828.25
3,2024-10-01,2.10,8359.00,17553.90
3,2024-11-01,1.95,13718.00,26750.10
3,2024-12-01,1.95,14304.00,27892.80
3,2025-01-01,2.25,14590.00,32827.50
3,2025-02-01,2.10,17359.00,36453.90
3,2025-03-01,1.95,12474.00,24324.30
3,2025-04-01,2.10,17498.00,36745.80
3,2025-05-01,2.40,19072.00,45772.80
3,2025-06-01,2.40,13789.00,33093.60
3,2025-07-01,2.25,15130.00,34042.50
3,2025-08-01,2.25,18683.00,42036.75
3,2025-09-01,2.10,15740.00,33054.00
3,2025-10-01,2.40,18834.00,45201.60
3,2025-11-01,2.10,8023.00,16848.30
3,2025-12-01,2.40,13066.00,31358.40
4,2024-01-01,2.10,15531.00,32615.10
4,2024-02-01,2.40,19189.00,46053.60
4,2024-03-01,2.40,16600.00,39840.00
4,2024-04-01,2.40,9495.00,22788.00
4,2024-05-01,1.95,15506.00,30236.70
4,2024-06-01,2.10,19769.00,41514.90
4,2024-07-01,1.95,15453.00,30133.35
4,2024-08-01,2.40,19399.00,46557.60
4,2024-09-01,2.40,15873.00,38095.20
4,2024-10-01,1.95,13519.00,26362.05
4,2024-11-01,2.10,12386.00,26010.60
4,2024-12-01,2.10,15108.00,31726.80
4,2025-01-01,2.10,11678.00,24523.80
4,2025-02-01,2.40,19097.00,45832.80
4,2025-03-01,1.95,19259.00,37555.05
4,2025-04-01,2.10,18070.00,37947.00
4,2025-05-01,2.10,9922.00,20836.20
