log_id,station_id,downtime_start,downtime_end,issue_type,repair_cost
1,105,"2024-01-04 00:00:00","2024-01-04 03:00:00","Power Issue",9950.00
2,69,"2025-05-10 00:00:00","2025-05-10 02:00:00","Hardware Failure",19755.00
3,106,"2024-07-10 00:00:00","2024-07-10 08:00:00","Software Error",16400.00
4,14,"2025-12-20 00:00:00","2025-12-20 02:00:00","Hardware Failure",21251.00
5,81,"2025-02-25 00:00:00","2025-02-25 03:00:00","Software Error",12260.00
6,89,"2024-11-17 00:00:00","2024-11-17 01:00:00","Power Issue",19744.00
7,10,"2025-01-19 00:00:00","2025-01-19 07:00:00","Power Issue",6484.00
8,27,"2024-02-01 00:00:00","2024-02-01 04:00:00","Hardware Failure",9687.00
9,60,"2025-07-07 00:00:00","2025-07-07 04:00:00","Hardware Failure",6809.00
10,26,"2025-05-27 00:00:00","2025-05-27 04:00:00","Software Error",22843.00
11,97,"2025-10-14 00:00:00","2025-10-14 08:00:00","Hardware Failure",19960.00
12,104,"2024-10-18 00:00:00","2024-10-18 06:00:00","Power Issue",10996.00
13,87,"2025-12-22 00:00:00","2025-12-22 07:00:00","Hardware Failure",12471.00
14,35,"2024-08-05 00:00:00","2024-08-05 01:00:00","Software Error",26182.00
15,114,"2024-03-09 00:00:00","2024-03-09 04:00:00","Software Error",7483.00
16,95,"2025-04-22 00:00:00","2025-04-22 06:00:00","Software Error",27410.00
17,7,"2024-09-05 00:00:00","2024-09-05 05:00:00","Hardware Failure",21937.00
18,58,"2024-05-09 00:00:00","2024-05-09 05:00:00","Hardware Failure",29431.00
19,53,"2024-02-29 00:00:00","2024-02-29 02:00:00","Software Error",21102.00
20,84,"2025-02-24 00:00:00","2025-02-24 06:00:00","Software Error",15339.00
21,47,"2024-07-23 00:00:00","2024-07-23 02:00:00","Software Error",17358.00
22,56,"2024-12-27 00:00:00","2024-12-27 07:00:00","Hardware Failure",17471.00
23,86,"2024-06-03 00:00:00","2024-06-03 07:00:00","Software Error",28849.00
24,65,"2024-08-20 00:00:00","2024-08-20 02:00:00","Power Issue",25016.00
25,19,"2025-02-27 00:00:00","2025-02-27 08:00:00","Power Issue",12132.00
26,22,"2024-03-15 00:00:00","2024-03-15 08:00:00","Software Error",17359.00
27,62,"2025-06-27 00:00:00","2025-06-27 08:00:00","Hardware Failure",7152.00
28,6,"2025-07-26 00:00:00","2025-07-26 06:00:00","Hardware Failure",24606.00
29,12,"2025-10-23 00:00:00","2025-10-23 01:00:00","Power Issue",6936.00
30,116,"2025-12-24 00:00:00","2025-12-24 04:00:00","Hardware Failure",10918.00
31,70,"2025-01-16 00:00:00","2025-01-16 07:00:00","Software Error",15538.00
32,96,"2025-11-08 00:00:00","2025-11-08 04:00:00","Power Issue",6432.00
33,38,"2025-08-30 00:00:00","2025-08-30 06:00:00","Power Issue",14811.00
34,111,"2024-04-09 00:00:00","2024-04-09 01:00:00","Software Error",15753.00
35,20,"2024-06-04 00:00:00","2024-06-04 03:00:00","Power Issue",26834.00
36,58,"2025-06-14 00:00:00","2025-06-14 05:00:00","Software Error",22375.00
37,104,"2025-07-20 00:00:00","2025-07-20 06:00:00","Software Error",14015.00
38,31,"2024-11-11 00:00:00","2024-11-11 08:00:00","Power Issue",17829.00
39,29,"2024-11-15 00:00:00","2024-11-15 05:00:00","Power Issue",9449.00
40,103,"2024-04-17 00:00:00","2024-04-17 05:00:00","Hardware Failure",25034.00
41,96,"2024-04-21 00:00:00","2024-04-21 05:00:00","Software Error",16687.00
42,109,"2025-10-07 00:00:00","2025-10-07 06:00:00","Power Issue",18698.00
43,36,"2025-05-31 00:00:00","2025-05-31 05:00:00","Hardware Failure",20915.00
44,50,"2024-10-07 00:00:00","2024-10-07 03:00:00","Software Error",20572.00
45,23,"2024-05-23 00:00:00","2024-05-23 04:00:00","Hardware Failure",12793.00
46,69,"2024-08-01 00:00:00","2024-08-01 04:00:00","Software Error",28978.00
47,9,"2025-07-27 00:00:00","2025-07-27 05:00:00","Hardware Failure",27079.00
48,15,"2025-12-21 00:00:00","2025-12-21 06:00:00","Power Issue",5306.00
49,17,"2024-03-12 00:00:00","2024-03-12 06:00:00","Hardware Failure",16186.00
50,108,"2024-11-15 00:00:00","2024-11-15 01:00:00","Hardware Failure",25123.00
51,54,"2024-12-11 00:00:00","2024-12-11 04:00:00","Power Issue",20373.00
52,30,"2024-05-15 00:00:00","2024-05-15 08:00:00","Power Issue",24991.00
53,18,"2024-04-17 00:00:00","2024-04-17 03:00:00","Hardware Failure",9859.00
54,89,"2025-07-23 00:00:00","2025-07-23 01:00:00","Power Issue",19709.00
55,95,"2024-07-20 00:00:00","2024-07-20 03:00:00","Hardware Failure",7906.00
56,92,"2025-04-09 00:00:00","2025-04-09 01:00:00","Hardware Failure",6566.00
57,61,"2025-12-01 00:00:00","2025-12-01 06:00:00","Hardware Failure",11737.00
58,118,"2025-01-07 00:00:00","2025-01-07 05:00:00","Software Error",15675.00
59,80,"2025-09-09 00:00:00","2025-09-09 06:00:00","Hardware Failure",18776.00
60,36,"2024-12-04 00:00:00","2024-12-04 08:00:00","Hardware Failure",18388.00
61,95,"2024-03-30 00:00:00","2024-03-30 01:00:00","Power Issue",20814.00
62,65,"2025-03-13 00:00:00","2025-03-13 01:00:00","Power Issue",14825.00
63,25,"2025-07-03 00:00:00","2025-07-03 02:00:00","Power Issue",15664.00
64,81,"2025-10-19 00:00:00","2025-10-19 08:00:00","Software Error",22258.00
65,90,"2025-12-08 00:00:00","2025-12-08 07:00:00","Hardware Failure",9208.00
66,13,"2025-08-28 00:00:00","2025-08-28 05:00:00","Power Issue",15281.00
67,115,"2025-03-16 00:00:00","2025-03-16 04:00:00","Hardware Failure",28620.00
68,88,"2024-07-21 00:00:00","2024-07-21 03:00:00","Power Issue",15651.00
69,93,"2025-06-20 00:00:00","2025-06-20 02:00:00","Hardware Failure",21486.00
70,91,"2025-05-13 00:00:00","2025-05-13 02:00:00","Software Error",28939.00
71,40,"2024-12-11 00:00:00","2024-12-11 01:00:00","Power Issue",29722.00
72,42,"2024-10-02 00:00:00","2024-10-02 02:00:00","Software Error",8019.00
73,105,"2024-12-12 00:00:00","2024-12-12 07:00:00","Power Issue",18196.00
74,95,"2024-03-30 00:00:00","2024-03-30 01:00:00","Power Issue",11644.00
75,66,"2024-02-02 00:00:00","2024-02-02 07:00:00","Software Error",7559.00
76,74,"2024-05-24 00:00:00","2024-05-24 08:00:00","Power Issue",5949.00
77,72,"2025-07-07 00:00:00","2025-07-07 02:00:00","Hardware Failure",19904.00
78,100,"2024-09-25 00:00:00","2024-09-25 04:00:00","Power Issue",25308.00
79,31,"2024-02-17 00:00:00","2024-02-17 02:00:00","Power Issue",21838.00
80,90,"2025-04-20 00:00:00","2025-04-20 02:00:00","Software Error",28746.00
81,103,"2025-03-06 00:00:00","2025-03-06 01:00:00","Hardware Failure",5798.00
82,4,"2024-08-19 00:00:00","2024-08-19 04:00:00","Power Issue",8357.00
83,94,"2024-02-15 00:00:00","2024-02-15 06:00:00","Hardware Failure",5727.00
84,69,"2025-07-05 00:00:00","2025-07-05 06:00:00","Software Error",25727.00
85,22,"2025-10-01 00:00:00","2025-10-01 07:00:00","Hardware Failure",20703.00
86,75,"2024-11-28 00:00:00","2024-11-28 07:00:00","Hardware Failure",22204.00
87,76,"2025-03-04 00:00:00","2025-03-04 01:00:00","Power Issue",28063.00
88,87,"2025-11-06 00:00:00","2025-11-06 06:00:00","Power Issue",27502.00
89,4,"2024-06-25 00:00:00","2024-06-25 01:00:00","Hardware Failure",24845.00
90,91,"2024-11-08 00:00:00","2024-11-08 02:00:00","Hardware Failure",15342.00
91,42,"2024-09-19 00:00:00","2024-09-19 05:00:00","Power Issue",21755.00
